GUID a587da0cbf17443f9880cde3e3a07280
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
Can_Use_Underwater False
ID 55130

Size_X 2
Size_Y 2
Size_Z 0.7
Size2_Z 0.6

EquipAudioClip laughingcoffinmod.masterbundle:Items/Guns/Assault_Rifle/Equip.wav
ShootAudioClip laughingcoffinmod.masterbundle:Items/Guns/Assault_Rifle/Shoot.ogg
ReloadAudioClip laughingcoffinmod.masterbundle:Items/Guns/Assault_Rifle/Reload.wav

InventoryAudio laughingcoffinmod.masterbundle:Sounds/Inventory/Guns.asset

Magazine 5529
Shell 6728

Hook_Sight
Hook_Tactical
Hook_Barrel
Hook_Grip

Ammo_Min 10
Ammo_Max 30

Auto

Caliber 5418

Range 400
Firerate 6
Action Trigger
Replace 0.5

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.8
Damage_Falloff_Multiplier 0.75

Player_Damage 50
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 50
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 50
Animal_Leg_Multiplier 0.75
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15
Object_Damage 25

Durability 0.15

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X 2
Recoil_Min_Y 3.5
Recoil_Max_X 2.5
Recoil_Max_Y 4

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 6718
