GUID b6f8d45224d54a1a864bd14a5e702949
Type Gun
Rarity Rare
Useable Gun
Slot Primary
Can_Use_Underwater False
ID 55113

Size_X 2
Size_Y 2
Size_Z 0.6
Size2_Z 0.55
EquipAudioClip laughingcoffinmod.masterbundle:Items/Guns/MP5A4/Equip.wav
ShootAudioClip laughingcoffinmod.masterbundle:Items/Guns/MP5A4/Shoot.ogg
ReloadAudioClip laughingcoffinmod.masterbundle:Items/Guns/MP5A4/Reload.wav

InventoryAudio laughingcoffinmod.masterbundle:Sounds/Inventory/Guns.asset

Magazine 5524
Shell 6727

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 5
Ammo_Max 30

Auto
Bursts 3

Caliber 5416

Range 275
Firerate 4
Action Trigger
Unplace 0.26
Replace 0.55

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.8
Damage_Falloff_Multiplier 0.75

Player_Damage 33
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 50
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 50
Animal_Leg_Multiplier 0.75
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 23
Resource_Damage 12
Object_Damage 15

Durability 0.15

Spread_Aim 0.085
Spread_Hip 0.1

Recoil_Min_X -1
Recoil_Min_Y 2
Recoil_Max_X 1
Recoil_Max_Y 2.5

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 6725
