GUID 4e181e8fbb2d45fe90a6b7d703e6f27f
Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
Can_Use_Underwater False
ID 55299

Size_X 2
Size_Y 2
Size_Z 0.9
Size2_Z 0.6

EquipAudioClip laughingcoffinmod.masterbundle:Items/Guns/M249/Equip.wav
ShootAudioClip laughingcoffinmod.masterbundle:Items/Guns/M249/Shoot.ogg
ReloadAudioClip laughingcoffinmod.masterbundle:Items/Guns/M249/Reload.wav

InventoryAudio laughingcoffinmod.masterbundle:Sounds/Inventory/Guns.asset
Magazine 5544
Shell 6728

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 30
Ammo_Max 100

Safety
Auto

Caliber 5423

Range 400
Firerate 5
Unplace 0.24
Replace 0.4
Action Trigger

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.8
Damage_Falloff_Multiplier 0.75

Player_Damage 65
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 50
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 50
Animal_Leg_Multiplier 0.75
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 30
Resource_Damage 30
Object_Damage 25

Durability 0.15

Spread_Aim 0.05
Spread_Hip 0.15

Recoil_Min_X -0.75
Recoil_Min_Y 4
Recoil_Max_X 0.75
Recoil_Max_Y 4.5

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.004
Shake_Min_Y 0.004
Shake_Min_Z -0.01
Shake_Max_X 0.004
Shake_Max_Y -0.004
Shake_Max_Z -0.02

Muzzle 6720
