GUID 66cccd35544441eb82614acbaffbc586
Type Gun
Rarity Rare
Useable Gun
Slot Primary
Can_Use_Underwater False
ID 55127

Size_X 2
Size_Y 2
Size_Z 0.7
ShootAudioClip Sounds/Thompson/Shoot.ogg
ReloadAudioClip Sounds/Thompson/Reload.wav
EquipAudioClip Sounds/Thompson/Equip.wav

Magazine 5522
Shell 6727

Hook_Sight
Hook_Tactical
Hook_Barrel
Hook_Grip

Ammo_Min 20
Ammo_Max 20

Auto

Caliber 5415

Range 225
Firerate 5
Unplace 0.18
Replace 0.43
Action Trigger

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.8
Damage_Falloff_Multiplier 0.75

Player_Damage 38
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 50
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 50
Animal_Leg_Multiplier 0.75
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 15

Durability 0.15

Spread_Aim 0.075
Spread_Hip 0.2

Recoil_Min_X -1.5
Recoil_Min_Y 2
Recoil_Max_X -2
Recoil_Max_Y 2.5

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 6725
