GUID 26cbe14112404bcbb840064230ec2692
Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
Can_Use_Underwater False
ID 55040

Size_X 2
Size_Y 2
Size_Z 1.2
Size2_Z 0.9

HammerAudioClip laughingcoffinmod.masterbundle:Items/Guns/L96_Rifle/Hammer.wav
EquipAudioClip laughingcoffinmod.masterbundle:Items/Guns/L96_Rifle/Equip.wav
ShootAudioClip laughingcoffinmod.masterbundle:Items/Guns/L96_Rifle/Shoot.ogg
ReloadAudioClip laughingcoffinmod.masterbundle:Items/Guns/L96_Rifle/Reload.wav

InventoryAudio laughingcoffinmod.masterbundle:Sounds/Inventory/Guns.asset

Magazine 5538
Shell 6728

Hook_Sight
Hook_Tactical
Hook_Barrel
Hook_Grip

Ammo_Min 1
Ammo_Max 5

Semi

Caliber 5421

Range 500
Firerate 50
Action Bolt

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.8
Damage_Falloff_Multiplier 0.75

Player_Damage 80
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 50
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 50
Animal_Leg_Multiplier 0.75
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 60
Resource_Damage 30
Object_Damage 75

Durability 0.15

Wear 3

Spread_Aim 0.025
Spread_Hip 0.1

Recoil_Aim 0.2
Recoil_Min_X -5
Recoil_Min_Y 6
Recoil_Max_X 5
Recoil_Max_Y 8

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 6718
