GUID 2c57fd34f6d642269fefe2ff3aae792f
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
Can_Use_Underwater False
ID 55042

Size_X 2
Size_Y 2
Size_Z 0.9
Size2_Z 0.6

EquipAudioClip laughingcoffinmod.masterbundle:Items/Guns/M249/Equip.wav
ShootAudioClip laughingcoffinmod.masterbundle:Items/Guns/M249/Shoot.ogg
ReloadAudioClip laughingcoffinmod.masterbundle:Items/Guns/M249/Reload.wav

InventoryAudio laughingcoffinmod.masterbundle:Sounds/Inventory/Guns.asset

Magazine 5544
Shell 6728

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 30
Ammo_Max 100

Safety
Auto

Caliber 5423

Range 400
Firerate 4
Unplace 0.24
Replace 0.4
Action Trigger

Damage_Falloff_Range 0.1
Damage_Falloff_Max_Range 0.5
Damage_Falloff_Multiplier 0.8

Player_Damage 81
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.25

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 32
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 30
Resource_Damage 30
Object_Damage 25

Durability 0.15

Spread_Aim 0.1
Spread_Hip 0.15

Recoil_Min_X -0.75
Recoil_Min_Y 3
Recoil_Max_X 0.75
Recoil_Max_Y 4.5

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.004
Shake_Min_Y 0.004
Shake_Min_Z -0.01
Shake_Max_X 0.004
Shake_Max_Y -0.004
Shake_Max_Z -0.02

Muzzle 6720
