GUID f8ad2737c409456abf63b7e147afaf56
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
Can_Use_Underwater False
ID 55031

Size_X 2
Size_Y 2
Size_Z 0.7
Size2_Z 0.6

EquipAudioClip laughingcoffinmod.masterbundle:Items/Guns/LR300_Assault_Rifle/Equip.wav
ShootAudioClip laughingcoffinmod.masterbundle:Items/Guns/LR300_Assault_Rifle/Shoot.ogg
ReloadAudioClip laughingcoffinmod.masterbundle:Items/Guns/LR300_Assault_Rifle/Reload.wav

InventoryAudio laughingcoffinmod.masterbundle:Sounds/Inventory/Guns.asset

Sight 5585
Magazine 5532
Shell 6728

Hook_Sight
Hook_Tactical
Hook_Barrel
Hook_Grip

Ammo_Min 10
Ammo_Max 30

Auto
Bursts 3

Caliber 5419

Range 425
Firerate 5
Unplace 0.18
Replace 0.55
Action Trigger

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.8
Damage_Falloff_Multiplier 0.75

Player_Damage 40
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 50
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 50
Animal_Leg_Multiplier 0.75
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15
Object_Damage 25

Durability 0.1

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X -0.5
Recoil_Min_Y 2.5
Recoil_Max_X 0.5
Recoil_Max_Y 3

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 6718


Muzzle 6718
